win,dealer_up_card,player_hand_val,action,ace
False,7,5,stand,False
True,4,13,stand,False
False,6,7,double down,False
False,9,7,stand,False
False,J,21,hit,True
False,Q,18,hit,False
False,K,14,stand,False
False,8,12,stand,False
True,6,20,stand,False
True,8,15,stand,False
True,T,17,double down,False
False,7,18,double down,False
False,9,15,stand,False
False,K,13,stand,False
True,A,11 / 21,stand,True
False,4,20,hit,False
False,9,20,double down,False
False,Q,4 / 14,stand,True
True,A,7,double down,False
False,8,14,hit,True
False,Q,17,stand,False
False,6,14,stand,False
False,3,14,hit,False
False,A,21,hit,False
False,7,17,double down,False
True,3,18,stand,False
True,9,20,hit,False
True,K,7 / 17,double down,True
True,8,21,hit,False
True,T,18,double down,False
True,6,20,hit,False
False,Q,15,stand,False
False,3,18,hit,False
False,7,15,hit,False
False,T,11 / 21,double down,True
False,T,16,hit,True
False,K,17,stand,False
False,9,12,hit,False
False,8,18,stand,False
False,T,18,hit,False
True,7,11,double down,False
False,A,7,double down,False
False,J,19,double down,False
False,4,16,hit,True
True,A,19,stand,False
False,2,19,hit,True
False,K,19,hit,True
False,9,11,stand,False
False,J,10,stand,False
False,J,16,hit,False
True,5,13,double down,False
False,5,8,split,False
False,5,14,double down,False
False,5,8,split,False
False,5,17,hit,False
False,A,6,stand,False
True,5,18,stand,False
True,4,21,hit,False
False,8,10,double down,False
False,6,13,double down,False
False,K,16,stand,False
False,3,17,double down,False
True,5,7 / 17,stand,True
False,5,12,stand,False
True,7,13,stand,False
False,9,11,double down,False
False,T,15,stand,False
False,8,18,double down,False
True,2,16,stand,False
True,9,10 / 20,stand,True
False,5,19,hit,False
False,K,15,hit,False
False,J,13,double down,False
False,T,21,hit,False
True,8,14,double down,False
False,9,13,stand,False
True,6,11,hit,False
True,5,8 / 18,stand,True
False,7,13,hit,True
True,6,14,stand,False
True,4,20,stand,False
True,5,17,hit,True
True,3,19,stand,False
False,K,17,double down,False
True,7,10,hit,False
False,3,16,hit,False
True,6,13,stand,False
True,4,9,double down,False
True,5,4,stand,False
True,5,20,hit,True
False,K,18,stand,False
False,T,17,hit,False
True,2,20,stand,False
False,3,19,double down,False
False,9,17,double down,False
False,Q,16,stand,False
False,2,4,double down,False
False,3,6,double down,False
False,A,18,double down,False
False,2,21,hit,False
False,9,13,double down,False
False,3,18,double down,False
False,J,13,double down,False
False,5,12,split,False
False,5,19,hit,False
True,5,12,split,False
True,5,13,stand,False
False,K,13,hit,False
False,8,17,hit,False
True,4,11 / 21,stand,True
True,J,21,hit,True
True,A,10,stand,False
False,6,18,double down,False
False,7,20,hit,False
False,9,20,hit,False
False,9,18,hit,False
False,A,6,split,False
False,A,7,double down,False
False,A,6,split,False
False,A,13,hit,False
False,9,10,split,False
False,9,10,split,False
False,9,6 / 16,stand,True
False,9,10,split,False
